Id,ActivityDate,TotalSteps,TotalDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories,DayOfTheWeek
8378563200,12/4/2016,7626,6.05,1,1,5,0,65,15,156,723,3635,Tuesday
4388161847,12/4/2016,10122,7.78,0,0,0,0,0,0,0,1440,2955,Tuesday
4319703577,12/4/2016,7753,5.20,0,0,0,0,0,0,0,1440,2115,Tuesday
4057192912,12/4/2016,5394,4.03,0,0,4,0,0,0,164,1276,2286,Tuesday
4020332650,12/4/2016,8539,6.12,0,0,6,0,4,15,331,712,3654,Tuesday
4702921684,12/4/2016,7213,5.88,0,0,6,0,0,0,263,718,2947,Tuesday
7086361926,12/4/2016,11317,8.41,5,0,3,0,59,6,153,745,2772,Tuesday
8877689391,12/4/2016,23186,20.40,12,0,8,0,85,7,312,1036,3921,Tuesday
2347167796,12/4/2016,10113,6.83,2,1,4,0,28,13,320,964,2344,Tuesday
1503960366,12/4/2016,13162,8.50,2,1,6,0,25,13,328,728,1985,Tuesday
5553957443,12/4/2016,11596,7.57,1,1,5,0,19,13,277,767,2026,Tuesday
8583815059,12/4/2016,5014,3.91,0,0,4,0,0,7,196,1237,2650,Tuesday
5577150313,12/4/2016,8135,6.08,4,0,2,0,86,16,140,728,3405,Tuesday
1644430081,12/4/2016,10694,7.77,0,2,5,0,2,51,256,1131,3199,Tuesday
3977333714,12/4/2016,8856,5.98,3,1,2,0,44,19,131,777,1450,Tuesday
1624580081,12/4/2016,8163,5.31,0,0,5,0,0,0,146,1294,1432,Tuesday
1844505072,12/4/2016,6697,4.43,0,0,4,0,0,0,339,1101,2030,Tuesday
1927972279,12/4/2016,678,0.47,0,0,0,0,0,0,55,734,2220,Tuesday
2022484408,12/4/2016,11875,8.34,3,1,4,0,42,14,227,1157,2390,Tuesday
4445114986,12/4/2016,3276,2.20,0,0,2,0,0,0,196,787,2113,Tuesday
4558609924,12/4/2016,5135,3.39,0,0,3,0,0,0,318,1122,1909,Tuesday
6117666160,12/4/2016,0,0.00,0,0,0,0,0,0,0,1440,1496,Tuesday
6290855005,12/4/2016,4562,3.45,0,0,3,0,0,0,199,1241,2560,Tuesday
6775888955,12/4/2016,0,0.00,0,0,0,0,0,0,0,1440,1841,Tuesday
8792009665,12/4/2016,2564,1.64,0,0,2,0,0,0,116,831,2044,Tuesday
3372868164,12/4/2016,4747,3.24,0,0,3,0,0,0,280,1160,1788,Tuesday
8253242879,12/4/2016,9033,7.16,5,0,2,0,40,2,154,1244,2044,Tuesday
2026352035,12/4/2016,4414,2.74,0,0,2,0,3,8,181,706,1459,Tuesday
6962181067,12/4/2016,10199,6.74,3,1,3,0,50,14,189,796,1994,Tuesday
2320127002,12/4/2016,10725,7.49,1,0,6,0,13,9,306,1112,2124,Tuesday
2873212765,12/4/2016,8796,5.91,0,1,5,0,2,21,356,1061,1982,Tuesday
8053475328,12/4/2016,18060,14.12,12,0,2,0,116,8,123,1193,3186,Tuesday
7007744171,12/4/2016,14172,10.29,5,0,5,0,53,8,355,1024,2937,Tuesday
8378563200,13/4/2016,12386,9.82,5,1,4,0,116,14,169,680,4079,Wednesday
4388161847,13/4/2016,10993,8.45,0,1,4,0,1,14,150,1275,3092,Wednesday
4319703577,13/4/2016,8204,5.50,1,1,1,0,8,15,96,1234,2135,Wednesday
4057192912,13/4/2016,5974,4.47,0,0,4,0,0,0,160,1280,2306,Wednesday
3372868164,13/4/2016,9715,6.63,1,0,5,0,16,8,371,1045,2093,Wednesday
8877689391,13/4/2016,15337,9.58,4,0,6,0,108,18,216,1098,3566,Wednesday
7086361926,13/4/2016,5813,3.62,1,0,3,0,31,26,155,744,2516,Wednesday
6290855005,13/4/2016,7142,5.40,0,0,5,0,0,0,350,1090,2905,Wednesday
2022484408,13/4/2016,12024,8.50,3,0,5,0,43,5,292,1100,2601,Wednesday
1644430081,13/4/2016,8001,5.82,2,1,3,0,30,16,135,1259,2902,Wednesday
